id,tyden_od,tyden_do,tyden,nove_pripady_celkem,primoinfekce,prvni_reinfekce,druhe_reinfekce,treti_a_dalsi_reinfekce
0a6e8354-864a-433d-b609-af6d210834e7,2024-03-11,2024-03-17,2024-11,131,69,48,13,0
bb1ba53f-8fce-4f95-b921-03e7e683e5e9,2023-08-07,2023-08-13,2023-32,167,103,54,10,0
8328b8ab-45b3-4db6-8d6e-e3a4c0ddca81,2023-09-11,2023-09-17,2023-37,1765,988,669,108,0
7584ec8e-986c-45ab-bb15-67d06bc44bbe,2021-11-08,2021-11-14,2021-45,78998,77194,1795,9,0
3844f297-792f-4243-a400-3c7b24bc9d59,2021-09-13,2021-09-19,2021-37,3155,3083,71,1,0
e8a4f2c7-d7ea-431d-bbac-db29a61e07c9,2024-01-01,2024-01-07,2024-01,4421,2473,1644,304,0
4bc9dfdd-22d3-4ee2-9f06-d11bf7338e5e,2022-04-25,2022-05-01,2022-17,11913,9980,1891,42,0
cea82a80-648f-4a06-94c0-21c4e96172f3,2024-02-05,2024-02-11,2024-06,637,360,237,40,0
b74899a8-b940-4cb6-b9bc-e7c93ba1ec98,2022-09-05,2022-09-11,2022-36,18735,12786,5640,309,0
dde069df-0a40-44ef-b397-c760405073dd,2022-08-08,2022-08-14,2022-32,17806,12716,4855,235,0
e3ff6568-6012-464e-84e9-bf42da227acf,2023-07-03,2023-07-09,2023-27,51,31,14,5,0
8db074b1-6e3d-4d44-bd3a-8c0b17724663,2021-03-29,2021-04-04,2021-13,37718,37442,275,1,0
d6ef4440-5fd6-4154-92a7-3e5664131eed,2022-09-12,2022-09-18,2022-37,22190,14890,6952,348,0
38912335-773c-4461-be37-f6bdf830206f,2021-05-31,2021-06-06,2021-22,2442,2409,33,0,0
da533c30-a8f9-4c55-8f7b-acd8520046d9,2023-05-29,2023-06-04,2023-22,224,139,76,9,0
fe9210c7-3cfa-4de4-8c92-c86a13fa799b,2021-10-25,2021-10-31,2021-43,35293,34509,780,4,0
c8ef7b0b-64dd-4f00-b737-572a242d93e8,2022-09-19,2022-09-25,2022-38,24294,16470,7422,402,0
60da2eb5-f0b5-418d-8e7e-81336561fb60,2021-02-01,2021-02-07,2021-05,50720,50507,213,0,0
a1cca946-eb6a-4cc5-9f06-8aea66a54b93,2023-02-06,2023-02-12,2023-06,3872,2278,1412,182,0
b8be02b7-7dd4-49bb-9f9d-a35cf40274d4,2021-01-18,2021-01-24,2021-03,48893,48789,104,0,0
2c8f4755-cee1-4941-9b6d-fd40e914b3f1,2022-06-27,2022-07-03,2022-26,8298,6442,1795,61,0
71469734-b762-49ea-808c-25e1029dafae,2021-04-12,2021-04-18,2021-15,22026,21847,179,0,0
89d54cae-6c69-4f02-a9d9-4762fec19c31,2022-12-26,2023-01-01,2022-52,2701,1908,735,58,0
f7e4db39-1d8c-448e-89a9-936d17fe1c8e,2022-11-14,2022-11-20,2022-46,4142,2759,1299,84,0
3e655b97-47b4-4288-8220-6bc5d142df57,2022-02-07,2022-02-13,2022-06,187520,159572,27725,223,0
bfe770c7-d56c-4415-a6b8-bb181748d8de,2021-08-16,2021-08-22,2021-33,1358,1309,48,1,0
7cdad3f9-b6b9-4b55-ae2c-af85413d6f7d,2023-10-16,2023-10-22,2023-42,3575,2049,1342,184,0
6dcea854-d30f-427f-896f-4a6b42abb2be,2023-11-20,2023-11-26,2023-47,8535,4587,3353,595,0
3949f970-dbda-4387-b45b-3d2c1a0b6a74,2022-07-11,2022-07-17,2022-28,14715,10938,3609,168,0
381e41f3-9d52-4031-b4ff-22fa12b937ba,2020-07-13,2020-07-19,2020-29,779,779,0,0,0
bb06aa06-80de-4bd1-86dd-e55a9e3b0333,2021-12-20,2021-12-26,2021-51,41978,40729,1244,5,0
13b202e5-d922-40b1-87ac-5619b9e62f94,2022-05-23,2022-05-29,2022-21,1856,1561,292,3,0
b057510f-7c2e-422f-8038-2b24c7b4eecc,2021-03-22,2021-03-28,2021-12,50397,50085,312,0,0
dceaafc5-fe79-47f0-bf18-f1863f719245,2020-03-01,2020-03-01,2020-09,3,3,0,0,0
8002e890-054a-41ff-b7b0-7f6b6b87849d,2023-03-20,2023-03-26,2023-12,4662,2837,1611,214,0
3ba83526-6be3-4899-b87f-f7a83254bfcc,2022-01-03,2022-01-09,2022-01,50784,47026,3737,21,0
bb4f0b14-ed1f-450b-9898-dd723da1ff05,2021-06-21,2021-06-27,2021-25,731,716,15,0,0
74ccaa61-81ac-47a9-b463-63c634435501,2022-05-02,2022-05-08,2022-18,7680,6406,1246,28,0
4d862b55-5c51-4af2-ae1b-847d0b4ea791,2023-06-26,2023-07-02,2023-26,73,43,20,10,0
107c17e9-3fcb-44cb-8849-77e25671062e,2021-06-07,2021-06-13,2021-23,1485,1456,29,0,0
0914b68b-4a6b-4e6a-a63f-29ccabe4eca5,2023-02-13,2023-02-19,2023-07,5740,3420,2087,233,0
ddf4bf52-ba13-4cdc-9695-c277e5d5f6cc,2021-10-18,2021-10-24,2021-42,22089,21600,485,4,0
7b8837ae-a9cc-4289-8aea-c2ef1ff8d658,2021-01-11,2021-01-17,2021-02,57175,57102,72,1,0
f0c887c1-32f0-4f1f-9e2d-55d12b74253a,2022-04-18,2022-04-24,2022-16,16352,13746,2554,52,0
d96f00b9-9825-4f36-a447-36d3cd01405b,2024-01-08,2024-01-14,2024-02,2248,1297,837,114,0
3cb9dff1-e581-44c4-aa96-cee10bdca9c6,2023-01-09,2023-01-15,2023-02,1933,1223,640,70,0
df3be85a-a610-448b-a459-42cf4af63460,2022-11-28,2022-12-04,2022-48,5638,3712,1784,142,0
0df277ff-b10e-45f9-b6fe-29f5079aa169,2022-12-12,2022-12-18,2022-50,5531,3700,1685,146,0
